00007_morfologic_10024795_Spcoaster.txt_tagged	Spcoaster	34-		H	E	103	56	23	18	12	3	89	14	43	13	73	49	20	14	12	3	59	14	36	13	12	2	199	0.0485436893	0.5436893204	0.2321428571	0.1917808219	0.1111111111	0.2222222222	0.3333333333	0.7087378641	7.1929037306	0.9257195948	5.0861510043	0.0371402026	27.0978223692	90.4892072768	-1.0545156927	875	0.3571428571	0.25	0.2142857143	0.0535714286	0.8695652174	0.7777777778	1	1	0.8333333333	17.3913043478	10.8888888889	12	3	2.9488391231	2.3333333333	2.4494897428	1.2247448714
00008_morfologic_10028135_Patilin.txt_tagged	Patilin	35+		M	A	43	22	11	6	5	0	33	10	13	9	37	21	10	6	5	0	27	10	12	9	2	4	53	0.0465116279	0.511627907	0.4090909091	0.2702702703	0.6666666667	2.6666666667	1.1547005384	0.8604651163	5.6424471023	0.9600440821	3.9898126085	0.019977959	40.8817652353	54.0832882639	-1.0671416997	0.9545454545	0.4545454545	0.2727272727	0.2272727273	0	0.9090909091	1	1	0	0.8333333333	9.0909090909	6	5	0	2.1320071636	1.7320508076	1.5811388301	0
00010_morfologic_10029413_colaramon.txt_tagged	colaramon	35+		M	E	55	31	18	5	5	3	43	12	19	12	46	30	17	5	5	3	34	12	18	12	4	1	83	0.0909090909	0.5636363636	0.3870967742	0.2608695652	0.2	0.2	0.316227766	0.8363636364	6.2026387347	0.9554088017	4.3859279105	0.0222955992	39.029287294	92.5619834711	-1.3797709957	0.9677419355	0.5483870968	0.1612903226	0.1612903226	0.0967741935	0.9444444444	1	1	1	1.6	16.0555555556	5	5	3	2.8333333333	1.5811388301	1.5811388301	1.2247448714
00014_morfologic_10036692_liviaester.txt_tagged	liviaester	35+		M	A	34	22	9	3	5	5	24	10	12	10	31	20	9	3	5	3	21	10	10	10	2	1	40	0.0588235294	0.6470588235	0.4545454545	0.3225806452	0.3333333333	0.3333333333	0.4082482905	0.9117647059	5.3164561394	0.9738049132	3.7593021881	0.0130975434	58.4643573456	51.9031141869	-1.1588621087	0.9090909091	0.4090909091	0.1363636364	0.2272727273	0.1363636364	1	1	1	0.6	2.6666666667	9	3	5	1.8	2.1213203436	1.2247448714	1.5811388301	0.9486832981
00022_morfologic_10055137_AlejandraMexico.txt_tagged	AlejandraMexico	34-		M	A	114	61	27	18	10	6	92	22	41	20	85	53	24	16	10	3	64	21	34	19	9	7	214	0.0526315789	0.5350877193	0.3278688525	0.2470588235	0.3888888889	2.7222222222	1.1666666667	0.7456140351	7.9609793984	0.9380205042	5.6292625175	0.0309897479	33.1868600146	76.946752847	-1.165829201	0.868852459	0.393442623	0.262295082	0.1639344262	0.0491803279	0.8888888889	0.8888888889	1	0.5	0.7222222222	21.3333333333	14.2222222222	10	1.5	3.2659863237	2.6666666667	2.2360679775	0.8660254038
00023_morfologic_10064125_kamus.txt_tagged	kamus	35+		H	E	233	125	59	39	17	10	188	45	84	41	139	104	52	26	17	9	98	41	67	37	17	9	843	0.0515021459	0.5364806867	328	0.2949640288	0.2307692308	2.0769230769	1.0190493307	0.5965665236	9.1061927709	0.9052355758	6.4390506591	0.0473822121	24.9814837223	112.3616202177	-1.0248411956	832	416	208	136	72	0.8813559322	0.6666666667	1	0.9	0.6666666667	45.8305084746	17.3333333333	17	8.1	4.7869880131	2.9439202888	2.9154759474	2.0124611797
00030_morfologic_10079974_londonmod.txt_tagged	londonmod	35+		M	E	105	64	28	13	11	12	78	27	40	24	80	59	27	12	11	9	55	25	35	24	11	1	183	0.0476190476	0.6095238095	375	0.3125	0.0769230769	0.0769230769	0.1961161351	0.7619047619	7.8072005836	0.9415693957	5.5205244747	0.0292153021	34.5912783978	70.7482993197	-1.1399198808	0.921875	0.421875	0.1875	0.171875	0.140625	0.9642857143	0.9230769231	1	0.75	1.5384615385	26.0357142857	11.0769230769	11	6.75	3.6080267658	2.3533936217	2.3452078799	1.8371173071
00079_morfologic_10258607_betanfield.txt_tagged	betanfield	35+		H	A	76	44	19	12	8	5	68	8	37	7	54	35	17	8	8	2	46	8	28	7	6	2	164	0.0657894737	0.5789473684	0.1590909091	0.1481481481	0.1666666667	0.3333333333	0.4082482905	0.7105263158	6.1942248145	0.921087431	4.3799783705	0.0394562845	23.8341447388	152.3545706371	-1.0940920363	0.7954545455	0.3863636364	0.1818181818	0.1818181818	0.0454545455	0.8947368421	0.6666666667	1	0.4	0.8333333333	15.2105263158	5.3333333333	8	0.8	2.7577641592	1.6329931619	2	0.632455532
00084_morfologic_10377943_TenerifeRachel.txt_tagged	TenerifeRachel	34-		M	E	186	103	39	30	14	20	140	46	59	44	120	89	37	26	14	12	77	43	48	41	11	15	532	0.0483870968	0.5537634409	0.427184466	0.3583333333	0.5	7.5	1.9364916731	0.6451612903	8.7988269013	0.9161354428	6.2217101684	0.0419322786	27.0616458188	100.0115620303	-1.0577298872	0.8640776699	0.359223301	0.2524271845	0.1359223301	0.1165048544	0.9487179487	0.8666666667	1	0.6	0.8666666667	35.1025641026	22.5333333333	14	7.2	4.1894250263	3.3565855667	2.6457513111	1.8973665961
00086_morfologic_10400566_alvarezgranda.txt_tagged	alvarezgranda	34-		M	E	49	30	11	7	7	5	43	6	24	6	37	27	11	5	7	4	31	6	21	6	5	0	81	0.1020408163	0.612244898	0.2	0.1621621622	0	0	0	0.7551020408	5.2857142857	0.9278223649	3.7375644148	0.0360888176	23.4171717735	133.2778009163	-1.2484552996	0.9	0.3666666667	0.1666666667	0.2333333333	0.1333333333	1	0.7142857143	1	0.8	1.5714285714	11	3.5714285714	7	3.2	2.3452078799	1.3363062096	1.8708286934	1.2649110641
